name;sub_category
Reference Guides;"{""name"":""Science""}"
Reference Guides;"{""name"":""Survival""}"
Reference Guides;"{""name"":""Teaching""}"
Self Improvement;"{""name"":""Anger Management""}"
Self Improvement;"{""name"":""Coaching""}"
Self Improvement;"{""name"":""Dating Guides""}"
Self Improvement;"{""name"":""Eating Disorders""}"
Self Improvement;"{""name"":""Finance""}"
Self Improvement;"{""name"":""General""}"
Self Improvement;"{""name"":""Public Speaking""}"
Self Improvement;"{""name"":""Self Defense""}"
Self Improvement;"{""name"":""Stress Management""}"
Self Improvement;"{""name"":""Time Management""}"
Software;"{""name"":""Databases""}"
Software;"{""name"":""Email Clients""}"
Software;"{""name"":""General""}"
Software;"{""name"":""Graphic Design""}"
Software;"{""name"":""Hardware""}"
Software;"{""name"":""Hosting""}"
Software;"{""name"":""Networking Systems""}"
Software;"{""name"":""Operating Systems""}"
Software;"{""name"":""Software Programming""}"
Software;"{""name"":""Systems Admin""}"
Software;"{""name"":""Systems Creation""}"
Software;"{""name"":""Website Design""}"
Spirituality / Beliefs;"{""name"":""Astrology""}"
Spirituality / Beliefs;"{""name"":""General""}"
Spirituality / Beliefs;"{""name"":""Magic""}"
Spirituality / Beliefs;"{""name"":""Numerology""}"
Spirituality / Beliefs;"{""name"":""Paranormal""}"
Spirituality / Beliefs;"{""name"":""Religion""}"
Spirituality / Beliefs;"{""name"":""Witchcraft""}"
Sports;"{""name"":""Baseball""}"
Sports;"{""name"":""Basketball""}"
Sports;"{""name"":""Coaching""}"
Sports;"{""name"":""Cycling""}"
Sports;"{""name"":""Extreme""}"
Sports;"{""name"":""Football""}"
Sports;"{""name"":""General""}"
Sports;"{""name"":""Golf""}"
Sports;"{""name"":""Hockey""}"
Sports;"{""name"":""Martial Arts""}"
Sports;"{""name"":""Running""}"
Sports;"{""name"":""Seasonal Sports""}"
Sports;"{""name"":""Soccer""}"
Sports;"{""name"":""Tennis""}"
Sports;"{""name"":""Training""}"
Sports;"{""name"":""Volleyball""}"
Sports;"{""name"":""Water Sports""}"
Travel;"{""name"":""General""}"
Writing / Speaking;"{""name"":""Article Writing""}"
Writing / Speaking;"{""name"":""Book Writing""}"
Writing / Speaking;"{""name"":""Copywriting""}"
Writing / Speaking;"{""name"":""General""}"
Writing / Speaking;"{""name"":""Public Speaking""}"
Writing / Speaking;"{""name"":""Publishing""}"
Writing / Speaking;"{""name"":""Screen Writing""}"
